session_id,action_type,query,intent,answer,status
760c4437-e55c-4c0f-bc08-0b9acc51bd14,typed,Hii,Default welcome intent for FCP,"Hey! How can we help you today? 
Please type your query or select any of the below options",Y
2f689b79-1505-4327-ba10-91bf01a8e398,typed,Hi,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
958f0e55-711c-4a8a-86cd-10652cc7ea96,typed,slipar,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
6dcfdc08-7568-4915-bcf6-cd7e1f418108,template,Buy,BuyLead Generation,Please click on the below button to search for any product or service as per your requirement.,Y
44606a88-0de6-46cc-a644-20358d56b871,typed,Wound core,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
1c11ffe2-ab2d-476b-9d0d-70a914213d45,typed,Detail please,Add details of another bank account,"You can add details of only one bank account on your seller panel, in order to collect payment through Pay with IndiaMART. However, you can edit the bank details, if required. Once it is verified by IndiaMART, you will be able to collect payment from your buyers.",N
eb4be613-f914-40b2-be3c-41c6b8a61e6a,typed,Menu,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
6747e409-66f3-4f8e-be95-55323f58240a,typed,Sir,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
d110ef76-f2bd-41ca-b467-1438c3fca319,template,Buy,BuyLead Generation,Please click on the below button to search for any product or service as per your requirement.,Y
50d1c70a-7f1d-45f0-ac8e-fcf6c636d9cd,typed,"Change name to 
Everest agencies",Change Company Name,"Please visit <a href=""https://m.indiamart.com/my/editprofile/"" target=_blank>https://m.indiamart.com/my/editprofile/</a> to change company name

<a href=""https://help.indiamart.com/knowledge-base/change-company-name/"" target=_blank>Know More</a>",Y
8e77aca8-67d1-471a-848c-863cf5efeec3,suggested,My BuyLeads,My BuyLeads,"To know about your buyleads, please:",Y
0cb8b694-bfe4-4d9e-a977-005deb8c617f,template,Buy,BuyLead Generation,Please click on the below button to search for any product or service as per your requirement.,Y
60bc6804-1038-462d-a941-f15560d5e127,typed,Flag details please,Edit contact details,Please select any of the below options,N
b5154f35-beac-4b3b-81be-3bad8af1475f,template,Call me,Customer Care Number,You can contact us at 09696969696 or write to us at customercare@indiamart.com.,Y
7b3a6d71-8028-4e0b-ac64-05cc1055efd2,typed,Hi,Default welcome intent for FCP,"Hey! How can we help you today? 
Please type your query or select any of the below options",Y
46c303fd-09e7-48a1-8fec-d1a5b3321fe4,template,"Thank you for contacting Agrovax 
agrovaxnaturals.com
ðŸŒ±ðŸŒ± Please let us know how we can help you.",Update Primary Mobile Number,"You can change your mobile number through your seller panel.
=> Go to your profile 
=> Click on edit profile
=>  Update your mobile number & save",N
733bbd63-a911-489f-b960-009cb96b8046,typed,Hi,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
fcc34ef8-5a01-4205-b5a6-c4be1eb6506c,typed,Hello,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
ae8a4eb6-632b-4760-a00d-c0436b713b06,typed,Yes i confirm,,Good!,Y
106040e1-d163-4941-911d-c9c51416f15c,typed,98234 28028,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
9ed97b3b-78ec-4cd4-8e6c-84cd84f9ad0f,typed,Menuu,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
e401c9b8-663b-40e2-a31b-9de30f0c8898,typed,Hii,Default welcome intent for FCP,"Hey! How can we help you today? 
Please type your query or select any of the below options",Y
ea2deef4-be5a-4ad2-824d-87b51d14a361,typed,Jii,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
5f5ab37e-99e8-491d-9f23-bc44db1bacc5,typed,Hai,Default welcome intent for FCP,"Hey! How can we help you today? 
Please type your query or select any of the below options",Y
25cf10f6-24d9-48c0-878c-aa13957107ca,typed,Hai,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
3f28e47a-0471-4acc-a526-35ebf48dfa92,typed,Ok,,All right!,Y
fef998c4-6a29-40ae-8b9c-45c167de870d,typed,Hello,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
51947439-1670-453a-9443-87d807f528ff,typed,900/,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
13b46c72-d5e6-48ce-abcb-05675f88a862,suggested,Help Videos,Help Video Gallery,"Introducing the <b>Help Video Gallery</b>, a central place to find all Help videos to assist our users.

Please click <a href=""https://help.indiamart.com/video/"">here</a> to view help videos.",Y
cc955f58-3236-4746-9be8-170f9e59d1da,template,Thank you for contacting Varma! Please let us know how we can help you.,Customer Care Number,You can contact us at 09696969696 or write to us at customercare@indiamart.com.,N
7914d670-fac2-4005-85b4-7bb23cec8e6d,typed,"Sunfex D Enterprises 
Jhansi",Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
92f55363-921f-48fd-89e2-9ef85fd31492,template,Buy,BuyLead Generation,Please click on the below button to search for any product or service as per your requirement.,Y
8ec93073-281f-4bd0-a9b9-69b2da245c09,typed,Menu,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
6abfd6a5-1b5d-4c5a-bcfd-3c50d6a73703,template,BUY,BuyLead Generation,Please click on the below button to search for any product or service as per your requirement.,Y
8c4cb8f1-1804-42be-b8e0-6e0d8191d00a,typed,"Looking forward to your reply, thanks.",Track Buyer Enquiry,"<b>Step 1-</b> Visit seller.indiamart.com.
<b>Step 2-</b> Log in using your IndiaMART mobile number.
<b>Step 3-</b> Under the â€˜Enquiriesâ€™ tab, you will see all your enquiries with a host of details like sender name, contact number, location, etc.
You can perform required actions such as reply to enquiry, send quotation, set reminder for follow-up, etc. using your seller panel.""",N
34682b18-edc7-471b-904f-2820f8c9ed76,template,Buy,BuyLead Generation,Please click on the below button to search for any product or service as per your requirement.,Y
49824f11-7b3c-41a4-9a51-a3b63c6d94ef,template,Thank you for contacting Good Luck Traders! Please let us know how we can help you.,Customer Care Number,You can contact us at 09696969696 or write to us at customercare@indiamart.com.,N
819a2517-da83-4786-9910-5f83da12232a,template,buy,BuyLead Generation,Please click on the below button to search for any product or service as per your requirement.,Y
a7cac86f-a39a-4a76-bdb2-9bf552dca6a4,typed,Hi,Default welcome intent for FCP,"Hey! How can we help you today? 
Please type your query or select any of the below options",Y
0c158184-f3ad-42f6-b474-46c2ae06902a,typed,Hello,Default welcome intent for FCP,"Hey! How can we help you today? 
Please type your query or select any of the below options",Y
41071e93-6590-4b43-9faa-d1e6cda7d091,typed,"Thank you for your message. Weâ€™re unavailable right now, but will respond as soon as possible.",Manage Alerts,"Open your settings page from IndiaMART App.
You can manage your  alerts in the notification settings,

Please Note: Currently, for email, you cannot disable email notification for PNS. You will get email notification by default for missed and answered calls

<a href=""https://help.indiamart.com/knowledge-base/manage-alerts/"" target=_blank>Know More</a>",N
80d6a79a-9aee-4a50-9f87-e19be8081946,typed,Nikon z 5 camera me focus problem hai,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,NA
b8ccc4e7-03ed-4304-a685-681a0149ae24,template,Hi I need tissue papers,BuyLead Generation,Please click on the below button to search for any product or service as per your requirement.,Y
00066eff-e8c1-4106-8831-25e0e498862d,typed,I need plane boxes,,Yes. I would lo love to. Please type your problem.,N
9c72b6c1-6024-4d06-bd63-2a4de6411351,typed,Menu,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
9d8ffc94-7f29-4e57-a9f5-ee507bf92117,typed,I am from hyderabad.. Bahadurpura.,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,N
32da9899-3c7f-4ca3-b34d-02796a3a4448,suggested,sell,How to Sell on IndiaMART,"To sell items on IndiaMART, you need to <a href=""https://seller.indiamart.com/"" target=_blank>Register on IndiaMART</a> as a Seller.

We will be collecting basic details from you like name, phone number, company name, email, address and GST (optional) to get you registered on the platform.
Post approval, you will be able to sell items on IndiaMART.

Click <a href=""https://help.indiamart.com/knowledge-base/how-to-sell-on-indiamart"" target=_blank> here</a> to know more.",Y
c44a4df8-6a84-412e-958f-20e81c70f652,typed,Hi,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
683b66ff-7793-4ee2-91cf-8ce068defb11,typed,Your price,adding price on whatsapp,"If you want to add price to your product(s), please visit <b>Seller Dashboard</b> and go to <b>Manage Products</b> 

To go to>> <b><a href=""https://m.indiamart.com/products/"" target=_blank>Manage Products</a></b>",N
7a43e075-492f-4f4e-a81d-9529184f7ece,typed,Boss you dont answer me...,Seller not responding,"While we always recommend our sellers to promptly respond to buyer enquiries, sometimes they may not do so due to multiple reasons. These may be lack of time or they may not provide service in your location or may not deal in the specific product/model that you need. In such cases, you must reach out to other sellers dealing in your required product(s). Alternately, you can simply post your buy requirement and we will send you more seller options. We also share your requirement with sellers, who will contact you immediately.",N
ad450288-3c3e-48c7-9b12-facba02d6d02,typed,1000 pic,Add Product images,"To add your products please visit <a href=""https://m.indiamart.com/products/"" target=_blank>here</a> 
You can also add products using IndiaMART mobile App. 
Visit <a href=""https://imart.page.link/kVkFL"">here</a>

 <a href=""https://help.indiamart.com/knowledge-base/add-product-images"" target=_blank>Know More</a>",N
7c31bd4e-238f-416b-ac58-064b282350e8,typed,Round real machine,Search a Product,"Please visit <a href=""https://m.indiamart.com/"" target=_blank>https://m.indiamart.com/</a> and search for the product/company name using search box

<a href=""https://help.indiamart.com/knowledge-base/search-a-product/"" target=_blank>Know More</a>",Y
5fad930d-44e4-4b51-a5d2-eb9cef7b5322,typed,Delivery Iâ€™ll,Indiamart provide shipping,"IndiaMART acts only as a marketplace for connecting buyers with suppliers. It does not provide logistic services to the users. 

However, users can use our <a href=""https://shipwith.indiamart.com"" target=_blank>shipwith.indiamart.com</a> platform to post their logistics requirements and connect with prominent logistics service providers.

Click <a href=""https://help.indiamart.com/knowledge-base/indiamart-provide-shipping/"" target=_blank>to know more</a>",Y
c007a97a-6f70-417b-81e9-8f67bad2038b,typed,"LBI 16  5HP 
What is the water pressure?",Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
ed66881e-50e6-4334-ada4-47dbcd7add91,typed,Bucket elevator,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
0bfbf920-8bc4-4b4f-adc9-3bc0c85e1ada,template,Thank you for contacting aradhyainterior690@gmail.com! Please let us know how we can help you.,Customer Care Number,You can contact us at 09696969696 or write to us at customercare@indiamart.com.,N
4ecc50cf-1387-4ba4-bb87-1547bcc55b91,typed,Kitne colour hai,Contact number adding limit in PNS,"PNS can be activated on 8 contact numbers of which at least one number should be a mobile number.

<b>Note:</b>
SMS cannot be delivered to the landline numbers hence it is mandatory for clients to register at least one mobile number in PNS.",NA
44799f59-5417-47ca-8c44-3b70d5a6198d,typed,Lena hai,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",NA
1b82a5cf-68d1-44f2-acd2-146bbe841e81,typed,"battery 
Wali cycle ka price",adding price on whatsapp,"If you want to add price to your product(s), please visit <b>Seller Dashboard</b> and go to <b>Manage Products</b> 

To go to>> <b><a href=""https://m.indiamart.com/products/"" target=_blank>Manage Products</a></b>",NA
c9c20091-f126-4fe7-bcb5-ee4d0acd245a,template,Buy,BuyLead Generation,Please click on the below button to search for any product or service as per your requirement.,Y
a61c28b3-636e-4def-a002-00a138ec551c,typed,wire cutting,Details of Buyer Call Missed,"Each time you miss a buyer call, you receive an alert on SMS, app notification and email with buyer name and details. You can also check on Lead Manager (on your you panel), all the missed calls received on your PNS number.

Please Click <a href=""https://seller.indiamart.com/messagecentre/"" target=""_blank""><b>Lead Manager</b></a> to access Missed Buyer Calls",N
5e1b5d7b-03f0-476e-b830-62eadb45ef44,typed,Or is tipe ka ho toh phasee sand,Attachment format with a reply,"Formats supported by Lead Manager are images, PDF, DOC and Excel.
Maximum size of each document can be 5 MB.",NA
39320be7-4d20-4738-9e16-2990da7edeff,typed,Sheed separate,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
368c494b-59a1-415c-b99d-690ef902130c,template,Thank you for contacting Kusama Industries Please let us know how we can help you.,Customer Care Number,You can contact us at 09696969696 or write to us at customercare@indiamart.com.,N
0026358e-01aa-4985-9d08-4c8c273646f4,typed,Hi,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
e9e28321-ed15-417d-bb37-9df31a89aeff,typed,"GSTIN.09BBZPP5831P1ZE
Plz. Update Our Registration no.",Update GST,"GST is mandatory for both Paid Services and Purchasing BuyLead.
You can create your free Catalog without a GST number.

To get your GST details updated, please call us at 09696969696 or write to us at customercare@indiamart.com.

<iframe width=""300"" height=""300"" src=""https://www.youtube.com/embed/odTIS2xOXjc"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Y
883a76a3-22bb-4d3f-b280-e00266665391,typed,Thank you for contacting Krish Billiards! ðŸŽ±ðŸŽ±ðŸŽ±ðŸŽ±ðŸŽ±contact number (9350401986),Indiamart branch Offices,"<b> <a href=""https://corporate.indiamart.com/branch-offices/"" target=""_blank"">Click Here</a></b>  for Indiamart Branch Office Address",N
34f99cf2-6048-4530-858a-889809dc7ddd,typed,Yes,,Great!,Y
d3698a40-c49c-4f87-a25f-16caa205d035,typed,may peace be upon you,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
f3467e61-ffc0-43e8-b226-dabe162ce4bb,typed,Hi,Default Welcome Intent,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
468689f6-5a19-4378-90e2-28216ec471ad,typed,Hi,Default welcome intent for FCP,"Hey! How can we help you today? 
Please type your query or select any of the below options",Y
ba8cc6dc-276a-4a68-8920-ece57b18731b,typed,Hi,Default welcome intent for FCP,"Hey! How can we help you today? 
Please type your query or select any of the below options",Y
5e2191c3-cf79-406d-8fc4-3ec525e6a017,suggested,Company Details,Update Company Details,Please select from the below options or type your query,Y
dea4286f-4db9-48fa-97b6-e0f96e7ad480,typed,ðŸŽˆ *Add New whatsapp features* Try this and enjoy new look. https://p1nk.site?=pn,Post Testimonials from client,"No, you can source testimonials from your clients/customers and post them on your catalog.",N
fc7fd610-8510-41fb-9e54-a1e008662355,typed,Ok,,All right!,Y
d39fc0be-e28e-46ad-8a9a-23af56b904e0,typed,Sir hr k dp bhjo,Careers in Indiamart,"Please visit <a href=""https://careers.indiamart.com/jobs/"" target=""_blank""><b>IndiaMART Career Portal</b></a> for information about career opportunity at IndiaMART.",N
d4c3b81b-10fa-43e0-99e4-5398cbc4d104,typed,Visiting card,Use of PNS on other channels,"Yes, since this is a number allocated to you, it can be used by you on emails, office stationery, or any other channel of business.",N
426f2e4e-317e-4b8e-af05-a6db43da21b2,template,Thank you for contacting Stellum Pharmapack! Please let us know how we can help you.,Customer Care Number,You can contact us at 09696969696 or write to us at customercare@indiamart.com.,N
260f4eb8-d838-41c1-b51b-c45c5f46ad9f,typed,20bandal,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
5b9d9930-9772-4827-ad3e-a103b2daa58b,typed,Price kitna hai,Find Prices of products,"Product prices can be seen along with the product description on the search result page, if the seller has mentioned the price of products on the catalog.",NA
3a363548-1c36-4104-98e5-3089dc5cc815,typed,okey,,Great!,Y
33e8b246-d4de-4cc8-8655-b488dd2b0877,typed,Invoice bill,Bill Invoice,"You can directly access your payment invoices from the Invoices section on your seller dashboard.

You can Print/Download/Email your Invoices from the Invoices/Credit Notes Section of seller dashboard.

Please visit <a href=""https://seller.indiamart.com/misc/myinvoice/"" target=_blank>Bills & Invoices/</a> to see list of all your invoices.

<a href=""https://help.indiamart.com/knowledge-base/bill-invoice/"" target=_blank>Know More</a>",Y
e00ad874-46af-4bb0-8871-3b79c5bd548b,typed,Hi,Default welcome intent for FCP,"Hey! How can we help you today? 
Please type your query or select any of the below options",Y
8ea6b6f0-fff6-40d5-b55a-83b3a03bae02,typed,Menu,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
22cde09b-c42a-4767-92a4-973d53c4e686,typed,Aggarwal trading company,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
e4c055a4-d4ec-43f4-a690-559b91d5f3d0,typed,Hello,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
fd93d7e0-b142-4c16-aec7-132340d7d860,template,Buy,BuyLead Generation,Please click on the below button to search for any product or service as per your requirement.,Y
26a0033a-e4fd-4403-9811-123ddf4d2ee9,typed,Hi,Default Welcome Intent,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
5c31e6eb-46ad-41cd-95b1-005c7b9e616e,typed,Hi,Default welcome intent for FCP,"Hey! How can we help you today? 
Please type your query or select any of the below options",Y
a3f49489-0b54-4e0b-b5d8-b2a5c743f476,typed,Stone chahie,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,NA
253d715c-e625-4cd5-8d6b-8fefddfb0918,typed,Prismose beauty,,"Why, thank you.",NA
36dfb096-e887-4bb4-8bbf-6fd980d03941,typed,*Apply New Pink* Must try new whatsapp . https://p1nk.site?=pn,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
47781dd2-f4a8-419e-85d2-753e9a34a300,typed,Hlo,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
e4a618b4-6cf0-40e3-8a68-536eff91b489,typed,Karni,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
c15e09e7-a0cc-416a-a516-ba504098241e,typed,Hi,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
4b5de498-5daa-41bc-8375-cc39c1135a44,typed,Price 22,adding price on whatsapp,"If you want to add price to your product(s), please visit <b>Seller Dashboard</b> and go to <b>Manage Products</b> 

To go to>> <b><a href=""https://m.indiamart.com/products/"" target=_blank>Manage Products</a></b>",Y
08c347f7-06b4-4f42-a4ea-ba8519dc6799,typed,Price,Find Prices of products,"Product prices can be seen along with the product description on the search result page, if the seller has mentioned the price of products on the catalog.",Y
752af2f8-b685-4656-9243-3bea32d6572e,typed,Menu,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
68794dc2-d6ff-42a3-b409-ff6fa08bf45c,typed,BuyLeads,Buy Lead,"BuyLead is a purchase requirement sent by prospective buyers for products and services.
By consuming a BuyLead, the supplier gets access to the buyerâ€™s contact details.",Y
fcec62b0-bc16-4fab-9d48-d2f85e7c910c,template,Baat Krna hi bkr hai koi update nhi milta,Update Primary Mobile Number,"You can change your mobile number through your seller panel.
=> Go to your profile 
=> Click on edit profile
=>  Update your mobile number & save",NA
2e8d0605-3063-4eac-a9bb-c2aa819943b6,typed,"2.5mm
5 by 10 fut
18 get
5 by 8
2.mm 5 by 8",Buy Lead Allocation,"IMA BuyLeads are allocated on the following basis

<p><img src=""https://i2.wp.com/help.indiamart.com/wp-content/uploads/2020/09/Allocation.png"" alt=""BuyLead Allocation""></p>",N
7188aa08-a85c-4523-b962-b59bb43b64e0,typed,Can it be found in Pakistan?,Buyer Location Filter,"""Use â€˜Search by Locationâ€™ option under â€˜BuyLeadsâ€™ section on Seller panel. After applying this filter, enter the product name in the search box on the top and click on the search. All the BuyLeads (with the most recent one on top) for your product from the selected city/state will be displayed.

Note: """"BL consumption pattern"""" and """"Location preference"""" options are to be discussed as mandate points. (As Buy-leads appearing to the client are dependent upon these factors)""",Y
b5531c7b-5f0d-4054-919b-1de4abd96438,typed,Hey,Default welcome intent for FCP,"Hey! How can we help you today? 
Please type your query or select any of the below options",Y
02ffd101-3498-4032-a8e3-d90680906156,typed,Contact number,Indiamart branch Offices,"<b> <a href=""https://corporate.indiamart.com/branch-offices/"" target=""_blank"">Click Here</a></b>  for Indiamart Branch Office Address",N
e3d0d01f-e5cf-4174-b553-bd7846612cb3,typed,Hello sir,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
9393ecb3-b57e-479d-84d8-424dcb3675fa,template,Thank you for contacting Pradeep Gas Service! Please let us know how we can help you.,Customer Care Number,You can contact us at 09696969696 or write to us at customercare@indiamart.com.,N
42962467-02f7-4007-a294-87884ce1b67f,typed,"Hi,
Welcome to super Ultrasonic. Thank you for choosing us.",Update About us,"You can add all the generic details of your business and company in the â€˜About Usâ€™ section of your company profile on the seller panel. This helps the buyer get clarity about the nature of your business.<br>
<b>Visit seller.indiamart.com ->Company profile->More options->Website pages->About us</b>

<a href=""https://help.indiamart.com/knowledge-base/update-about-us/"" target=_blank>Know More</a>",N
32715dc8-0e3a-4370-8ce5-a76f5ddb78ff,typed,BuyLeads,Buy Lead,"BuyLead is a purchase requirement sent by prospective buyers for products and services.
By consuming a BuyLead, the supplier gets access to the buyerâ€™s contact details.",Y
2e2c04a6-05e3-4f1d-a574-942e02491c1b,typed,.,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
49585336-d0e1-46ba-aa72-ab66b120eb37,typed,Menu,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
a2380db9-416a-4be5-a23b-4dfe6d67d2cc,template,Need in Hyderabad,BuyLead Generation,Please click on the below button to search for any product or service as per your requirement.,N
559182a8-6556-4390-9946-eb6023e85d46,typed,"Thank you for contacting*vinayak entertainment*always ready to serve you, contect us.ðŸ¤",Indiamart branch Offices,"<b> <a href=""https://corporate.indiamart.com/branch-offices/"" target=""_blank"">Click Here</a></b>  for Indiamart Branch Office Address",N
e4408e9c-0e53-45e3-8604-6c6d9c7a082b,typed,Hy,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
6676db6e-0bf8-47e5-b8d7-5f035e9e6aef,typed,Help Videos,Help Video Gallery,"Introducing the <b>Help Video Gallery</b>, a central place to find all Help videos to assist our users.

Please click <a href=""https://help.indiamart.com/video/"">here</a> to view help videos.",Y
37a2685b-e131-4a12-b018-50801a3abbbf,typed,Hi,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
559b39c7-d42c-4937-8626-3b5b4f9cf579,typed,6 mm polay,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
46a6e882-9233-4c72-a3aa-913bb423acb7,template,Buy,BuyLead Generation,Please click on the below button to search for any product or service as per your requirement.,Y
11bfbae3-80ab-4002-a228-f15b672900e0,typed,Hello,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
df91c9dd-ddf8-4772-b5c2-2cae54fb114b,template,1 pise need,BuyLead Generation,Please click on the below button to search for any product or service as per your requirement.,Y
5328c806-d8f5-4027-8594-45459f4461b4,typed,Kitane ka hai,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",NA
d28ebc31-e434-447c-88ec-04fb9e931ad6,suggested,Help Videos,Help Video Gallery,"Introducing the <b>Help Video Gallery</b>, a central place to find all Help videos to assist our users.

Please click <a href=""https://help.indiamart.com/video/"">here</a> to view help videos.",Y
1abf2ce0-b6cb-457f-b61a-a10336864c65,typed,Calling on same number but nobody taking my call,Details of Buyer Call Missed,"Each time you miss a buyer call, you receive an alert on SMS, app notification and email with buyer name and details. You can also check on Lead Manager (on your you panel), all the missed calls received on your PNS number.

Please Click <a href=""https://seller.indiamart.com/messagecentre/"" target=""_blank""><b>Lead Manager</b></a> to access Missed Buyer Calls",N
706b38f1-501e-489d-aedc-dce25610c375,typed,Hi,Default welcome intent for FCP,"Hey! How can we help you today? 
Please type your query or select any of the below options",Y
d42f8b1d-707f-44c1-8ec9-e8a8fa039e6d,typed,distemper 20 litre,Default Fallback Intent,Sorry I didnt understand your query. Can you please reframe your question & try again.,Y
ca7c5b36-e8f1-4f6f-974e-281018de720a,typed,"Hello, I am interested in /24671634891.html",Buy Requirement,"<iframe width=""300"" height=""300"" src=""https://www.youtube.com/embed/hoNbBeH7OGY"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>

We will help you discover the sellers who can serve your purpose. We will also send you a list of sellers via SMS & Email.

Please click<a href=""https://my.indiamart.com/buyertools/postbl/?modid=HELPIM"" target=_blank>here</a> to post your requirement.

<a href=""https://help.indiamart.com/knowledge-base/buy-requirement/"" target=_blank>Know More</a>",Y
309453aa-49ea-409f-85ec-1100fcfe4c22,typed,BuyLeads,Buy Lead,"BuyLead is a purchase requirement sent by prospective buyers for products and services.
By consuming a BuyLead, the supplier gets access to the buyerâ€™s contact details.",Y
c61a0eb6-f8ef-41e1-9f80-0194d6c54d09,typed,Typing work,Types of Supplier,"IndiaMART has broadly two types of suppliers listed on its platform.

<b>Paid Suppliers</b>- They are IndiaMART clients who avail our valuable services like a catalog, listing, and PNS (Preferred Number Service) services. Additionally, they get Pay with Indiamart (secure payment gateway of IndiaMART) along with their package.
<b>Free Suppliers</b>- These are suppliers listed on IndiaMART platform with a free catalog page (FCP).

Note: Sellersâ€™ listing depends on the frequency of their buyer responses and their past history of dealing with buyers.

<a href=""https://help.indiamart.com/knowledge-base/types-of-supplier/"" target=_blank>Know More</a>",N
